"","Host","Amenity"
"575",63,"Heating"
"576",63,"Kitchen"
"577",63,"Wireless Internet"
"578",64,"Internet"
"579",64,"Dryer"
"580",64,"Laptop friendly workspace"
"581",64,"Hangers"
"582",64,"Heating"
"583",64,"Washer"
"584",64,"TV"
"585",64,"Kitchen"
"586",64,"Wireless Internet"
"587",65,"Free parking on premise"
"588",65,"Internet"
"589",65,"Laptop friendly workspace"
"590",65,"Hair dryer"
"591",65,"Iron"
"592",65,"Essentials"
"593",65,"Hangers"
"594",65,"Heating"
"595",65,"Washer"
"596",65,"TV"
"597",65,"Kitchen"
"598",65,"Wireless Internet"
"599",66,"Cable TV"
"600",66,"Internet"
"601",66,"Laptop friendly workspace"
"602",66,"Hair dryer"
"603",66,"Essentials"
"604",66,"Hangers"
"605",66,"Heating"
"606",66,"TV"
"607",66,"Wireless Internet"
"608",67,"Breakfast"
"609",67,"Internet"
"610",67,"Heating"
"611",67,"TV"
"612",67,"Kitchen"
"613",67,"Wireless Internet"
"614",68,"Internet"
"615",68,"Laptop friendly workspace"
"616",68,"Hair dryer"
"617",68,"Essentials"
"618",68,"Hangers"
"619",68,"Heating"
"620",68,"Wireless Internet"
"621",69,"Breakfast"
"622",69,"Internet"
"623",69,"Dryer"
"624",69,"Hair dryer"
"625",69,"Iron"
"626",69,"Essentials"
"627",69,"Heating"
"628",69,"Washer"
"629",69,"Kitchen"
"630",69,"Wireless Internet"
"631",70,"Internet"
"632",70,"Laptop friendly workspace"
"633",70,"Essentials"
"634",70,"Hangers"
"635",70,"Heating"
"636",70,"TV"
"637",70,"Kitchen"
"638",70,"Wireless Internet"
"639",71,"Cable TV"
"640",71,"Internet"
"641",71,"Dryer"
"642",71,"Laptop friendly workspace"
"643",71,"Hair dryer"
"644",71,"Iron"
"645",71,"Essentials"
"646",71,"Hangers"
"647",71,"Heating"
"648",71,"Washer"
"649",71,"TV"
"650",71,"Kitchen"
"651",71,"Wireless Internet"
"652",71,"High chair"
"653",71,"Bathtub"
"654",72,"Internet"
"655",72,"Hair dryer"
"656",72,"Essentials"
"657",72,"Heating"
"658",72,"Kitchen"
"659",72,"Wireless Internet"
"660",73,"Internet"
"661",73,"Laptop friendly workspace"
"662",73,"Heating"
"663",73,"TV"
"664",73,"Kitchen"
"665",73,"Wireless Internet"
"666",74,"Internet"
"667",74,"Hair dryer"
"668",74,"Essentials"
"669",74,"Heating"
"670",74,"Washer"
"671",74,"TV"
"672",74,"Kitchen"
"673",74,"Wireless Internet"
"674",75,"Internet"
"675",75,"Dryer"
"676",75,"Laptop friendly workspace"
"677",75,"Hair dryer"
"678",75,"Iron"
"679",75,"Essentials"
"680",75,"Hangers"
"681",75,"Wheelchair accessible"
"682",75,"Heating"
"683",75,"Washer"
"684",75,"TV"
"685",75,"Kitchen"
"686",75,"Wireless Internet"
"687",75,"Room-darkening shades"
"688",76,"Breakfast"
"689",76,"Free parking on premise"
"690",76,"Cable TV"
"691",76,"Internet"
"692",76,"Dryer"
"693",76,"Laptop friendly workspace"
"694",76,"Hair dryer"
"695",76,"Iron"
"696",76,"Essentials"
"697",76,"Hangers"
"698",76,"Heating"
"699",76,"Washer"
"700",76,"TV"
"701",76,"Kitchen"
"702",76,"Wireless Internet"
"703",77,"Internet"
"704",77,"Essentials"
"705",77,"Heating"
"706",77,"Washer"
"707",77,"Kitchen"
"708",77,"Wireless Internet"
"709",78,"Internet"
"710",78,"Essentials"
"711",78,"Heating"
"712",78,"Wireless Internet"
"713",79,"Internet"
"714",79,"Hair dryer"
"715",79,"Essentials"
"716",79,"Hangers"
"717",79,"Heating"
"718",79,"TV"
"719",79,"Wireless Internet"
"720",80,"Cable TV"
"721",80,"Internet"
"722",80,"Essentials"
"723",80,"Heating"
"724",80,"TV"
"725",80,"Kitchen"
"726",80,"Wireless Internet"
"727",81,"Breakfast"
"728",81,"Internet"
"729",81,"Laptop friendly workspace"
"730",81,"Essentials"
"731",81,"Hangers"
"732",81,"Heating"
"733",81,"Kitchen"
"734",81,"Wireless Internet"
"735",82,"Internet"
"736",82,"Laptop friendly workspace"
"737",82,"Essentials"
"738",82,"Hangers"
"739",82,"Heating"
"740",82,"Kitchen"
"741",82,"Wireless Internet"
"742",83,"Internet"
"743",83,"Laptop friendly workspace"
"744",83,"Hair dryer"
"745",83,"Hangers"
"746",83,"Heating"
"747",83,"Washer"
"748",83,"Kitchen"
"749",83,"Wireless Internet"
"750",84,"Cable TV"
"751",84,"Essentials"
"752",84,"Heating"
"753",84,"TV"
"754",84,"Kitchen"
"755",85,"Internet"
"756",85,"Laptop friendly workspace"
"757",85,"Hair dryer"
"758",85,"Heating"
"759",85,"Washer"
"760",85,"Kitchen"
"761",85,"Wireless Internet"
"762",86,"Internet"
